"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherApparentTemperature","weatherTemperature","weatherPrecip","weatherPrecipType","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherLat","weatherLong"
"395",0.8,9.8,52,12.61,0.74,61.51,70.08,70.08,0,NA,"partly-cloudy-day","Mostly Cloudy",1020.79,317.47,32.13,-81.2
"396",0.98,9.85,66,8.54,0.71,62.53,72.46,72.46,0,NA,"cloudy","Overcast",1018.12,308.03,30.78,-83.28
"397",0.69,9.73,84,6.97,0.75,61.46,69.72,69.72,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.82,311.43,31.25,-82.4
"398",0.53,9.94,103,20.03,0.7,64.2,74.66,74.66,0,NA,"wind","Breezy and Partly Cloudy",1021.06,287.12,21.53,-158.12
"399",0.53,9.94,103,20.03,0.7,64.2,74.66,74.66,0,NA,"wind","Breezy and Partly Cloudy",1021.06,287.12,21.53,-158.12
"400",0,10,104,18.99,0.8,68.59,75.04,75.04,0,NA,"wind","Breezy and Humid",1021.63,290.07,22.05,-160.3
"401",0.01,NA,87,18.29,0.8,64.94,71.31,71.31,9e-04,NA,"wind","Breezy",1023.76,291.2,24.45,-166.47
"402",0.97,7.65,78,3.67,0.81,66.42,72.65,72.65,0.0018,NA,"cloudy","Overcast",1020.46,273.99,19.72,-155.07
"403",0.44,9.97,74,19.43,0.66,64.55,76.89,76.89,0,NA,"partly-cloudy-day","Partly Cloudy",1020.85,285.99,21.35,-157.93
"404",0.73,10,73,17.02,0.76,67.22,75.14,75.14,0,NA,"partly-cloudy-day","Mostly Cloudy",1020.38,282.26,20.9,-156.43
"405",0.23,10,105,23.07,0.71,65.03,75.12,75.12,0,NA,"wind","Breezy",1021.33,289.06,21.75,-158.28
"406",0.23,10,105,23.07,0.71,65.03,75.12,75.12,0,NA,"wind","Breezy",1021.33,289.06,21.75,-158.28
"407",0.52,10,84,7.85,0.67,65.69,77.35,77.35,0,NA,"partly-cloudy-day","Partly Cloudy",1019.48,278.03,19.75,-156.05
"408",0.06,10,108,21.94,0.76,66.25,74.43,74.43,0,NA,"wind","Breezy",1022.02,289.69,22.38,-159.67
"409",0.32,10,68,20.66,0.75,66.72,75.36,75.36,0,NA,"partly-cloudy-day","Partly Cloudy",1020.07,282.57,20.8,-156.95
"410",0.52,10,72,19.84,0.75,66.65,75.2,75.2,0,NA,"partly-cloudy-day","Partly Cloudy",1021.66,288.57,21.98,-159.35
"411",0.53,10,103,22.28,0.74,66.08,74.84,74.84,0,NA,"partly-cloudy-day","Partly Cloudy",1020.3,283.16,20.97,-156.83
"412",0.46,9.75,71,19.31,0.79,67.79,74.91,74.91,0,NA,"partly-cloudy-day","Partly Cloudy",1020.55,284.84,21.15,-157.1
"413",0.78,10,104,25.14,0.76,67.31,75.43,75.43,0,NA,"wind","Windy and Mostly Cloudy",1019.71,280.66,20.42,-156.47
"414",0.67,10,94,19.48,0.68,64.59,75.9,75.9,0,NA,"wind","Breezy and Mostly Cloudy",1019.36,279.72,20,-156.12
"415",0.05,9.66,275,4.48,0.47,37.31,57.45,57.45,0,NA,"clear-day","Clear",1015.62,348.26,43.57,-116.22
"416",0.21,8.82,274,10.71,0.56,39.46,54.92,54.92,0,NA,"clear-day","Clear",1015.37,335.52,42.53,-113.77
"417",0.29,10,247,9.04,0.39,26.14,46.32,49.96,0,NA,"partly-cloudy-day","Partly Cloudy",1013.87,347.35,44.52,-114.22
"418",0.67,8.94,184,6.45,0.74,39.84,44.57,47.6,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.17,386.48,47.77,-116.82
"419",0.95,4.5,288,5.71,0.8,38.96,41.45,44.63,0,NA,"cloudy","Overcast",1019.26,367.11,45.82,-115.43
"420",0.21,7,277,10.41,0.49,37.95,57.08,57.08,0,NA,"clear-day","Clear",1015.22,342.84,43,-115.17
"421",0.51,8.15,263,6.23,0.75,41.56,46.6,49.2,0,NA,"partly-cloudy-day","Partly Cloudy",1019.22,371.8,45.92,-116.13
"422",0.56,8.43,221,18.81,0.57,40.87,55.68,55.68,0,NA,"partly-cloudy-day","Partly Cloudy",1013.44,336.22,43.52,-112.07
"423",0.43,9.74,237,2.27,0.61,42.6,56.04,56.04,0.0095,NA,"rain","Light Rain",1016.45,378.59,46.38,-117.02
"424",0.64,9.93,267,7.59,0.72,44.69,53.66,53.66,0.0044,NA,"partly-cloudy-day","Mostly Cloudy",1014.37,330.95,42.17,-112.32
"425",0.66,7.09,295,9,0.57,39.12,54.18,54.18,0,NA,"partly-cloudy-day","Mostly Cloudy",1015.34,332.86,42.3,-113.37
"426",0.67,9.49,265,5.84,0.76,36.41,39.95,43.44,0,NA,"partly-cloudy-day","Mostly Cloudy",1015.82,356.45,44.88,-116.1
"427",0.09,10,301,5.15,0.48,37.76,57.52,57.52,0,NA,"clear-day","Clear",1017.31,344.41,43.05,-115.87
"428",0.87,2.73,250,5.87,0.8,32.26,33.16,37.74,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.27,381.73,47.47,-115.8
"429",0.45,8.69,240,16.21,0.56,39.67,54.99,54.99,0.0022,NA,"partly-cloudy-day","Partly Cloudy",1014.61,334.62,42.92,-112.6
"430",0.48,9.86,239,0.61,0.57,33.78,48.35,48.35,0,NA,"partly-cloudy-day","Partly Cloudy",1013.65,354.18,45.18,-113.9
"431",0.7,9.31,253,6.98,0.59,28.16,36.73,41.31,0,NA,"partly-cloudy-day","Mostly Cloudy",1014.09,354.53,45.17,-114.47
"432",0.81,8.46,228,8.08,0.79,41.24,43.49,47.34,0,NA,"partly-cloudy-day","Mostly Cloudy",1014.22,330.45,42.65,-111.58
"433",0.49,9.58,270,11.64,0.49,34.53,53.33,53.33,0,NA,"partly-cloudy-day","Partly Cloudy",1014.34,339.11,43.5,-114.3
"434",0.24,9.51,290,8.88,0.54,38.41,54.92,54.92,0.0023,NA,"clear-day","Clear",1015.53,337.29,42.48,-114.48
"435",0,10,126,5.61,0.42,38.78,62,62,0,NA,"clear-day","Clear",1022.97,342.15,38.88,-90.05
"436",0.42,10,137,6.94,0.4,33.91,57.79,57.79,0,NA,"partly-cloudy-day","Partly Cloudy",1025.55,353.49,41.77,-88.32
"437",0,10,117,5.1,0.43,40.57,63.29,63.29,0,NA,"clear-day","Clear",1022.83,338.37,38.57,-90.15
"438",0.03,10,154,13.4,0.43,36.65,58.86,58.86,0,NA,"clear-day","Clear",1024.18,344.57,40.48,-88.93
"439",0.06,10,153,10.98,0.36,33.52,60.28,60.28,0,NA,"clear-day","Clear",1024.08,344.54,41.16,-89.6
"440",0.13,10,30,7.13,0.4,39.39,64.57,64.57,0,NA,"clear-day","Clear",1021.68,332.29,37.07,-89.22
"441",0.12,10,62,6.16,0.37,36.18,62.49,62.49,0,NA,"clear-day","Clear",1022.6,332.83,37.78,-89.25
"442",0,10,117,5.15,0.42,37.26,60.6,60.6,0,NA,"clear-day","Clear",1023.21,339.77,38.51,-89.09
"443",0,10,122,8,0.45,36.37,57.62,57.62,0,NA,"clear-day","Clear",1024.32,347.39,40.03,-88.28
"444",0.49,9.96,74,4.62,0.5,33.74,51.52,51.52,0,NA,"partly-cloudy-day","Partly Cloudy",1026.52,358.81,41.9,-87.65
"445",0.5,9.98,64,5.33,0.5,32.72,50.47,50.47,0,NA,"partly-cloudy-day","Partly Cloudy",1026.51,358.96,41.87,-87.62
"446",0.5,10,87,9.72,0.45,34.07,54.98,54.98,0,NA,"partly-cloudy-day","Partly Cloudy",1026.18,357.7,41.78,-87.75
"447",0.47,10,99,8.45,0.45,33.64,54.36,54.36,0,NA,"partly-cloudy-day","Partly Cloudy",1026.32,357.03,41.98,-87.9
"448",0,10,113,6.34,0.42,34.97,58.15,58.15,0,NA,"clear-day","Clear",1024.8,351.32,40.2,-87.6
"449",0.1,10,135,10.3,0.4,32.63,56.89,56.89,0,NA,"clear-day","Clear",1025.34,351.18,41.93,-88.72
"450",0,10,129,7.46,0.48,38.76,58.55,58.55,0,NA,"clear-day","Clear",1023.9,346.54,39.83,-88.87
"451",0.32,10,126,7.09,0.41,33.55,56.85,56.85,0,NA,"partly-cloudy-day","Partly Cloudy",1025.76,354.26,41.92,-88.25
"452",0.04,10,145,10.85,0.38,34.69,60.44,60.44,0,NA,"clear-day","Clear",1023.28,340.59,40.93,-90.43
"453",0.62,10,86,6.74,0.51,34.15,51.49,51.49,0,NA,"partly-cloudy-day","Mostly Cloudy",1026.6,357.85,42.08,-87.82
"454",0,10,123,9.54,0.4,33.05,56.82,56.82,0,NA,"clear-day","Clear",1025.26,354.12,41.07,-87.85
"455",0.01,10,149,11.76,0.33,31.9,61.66,61.66,0,NA,"clear-day","Clear",1022.97,339.59,40.52,-90.66
"456",0.32,10,66,6.42,0.35,34.95,62.77,62.77,0,NA,"partly-cloudy-day","Partly Cloudy",1022.6,332.77,37.75,-89
"457",0.04,10,141,10.28,0.39,33.16,57.98,57.98,0,NA,"clear-day","Clear",1024.96,350.13,41.37,-88.68
"458",0,10,112,7.16,0.42,34.33,57.24,57.24,0,NA,"clear-day","Clear",1024.01,350.33,39.48,-88.28
"459",0.04,9.81,161,11.66,0.34,32.88,61.69,61.69,0,NA,"clear-day","Clear",1023.34,341.56,41.45,-90.52
"460",0.04,10,77,6.71,0.42,38.1,61.28,61.28,0,NA,"clear-day","Clear",1023.16,337.93,38.32,-88.86
"461",0.03,10,151,10.78,0.38,34.7,60.59,60.59,0,NA,"clear-day","Clear",1023.78,342.61,40.67,-89.68
"462",0,10,154,8.29,0.32,33.26,63.38,63.38,0,NA,"clear-day","Clear",1022.4,341.19,39.93,-91.2
"463",0.45,10,136,11.05,0.41,34.1,57.81,57.81,0,NA,"partly-cloudy-day","Partly Cloudy",1025.14,349.29,42.2,-89.1
"464",0,10,103,5.69,0.42,37.25,60.39,60.39,0,NA,"clear-day","Clear",1023.31,341.56,38.63,-88.96
"465",0,10,95,5.41,0.42,38.29,61.75,61.75,0,NA,"clear-day","Clear",1023.81,338.83,38.55,-89.85
"466",0,10,143,9.23,0.43,36.79,59.43,59.43,0,NA,"clear-day","Clear",1023.44,344.47,39.85,-89.67
"467",0.03,10,149,11.48,0.41,35.75,59.46,59.46,0,NA,"clear-day","Clear",1024.31,345.77,41.74,-89.67
"468",0.41,8.01,123,7.34,0.45,37.59,58.84,58.84,0,NA,"partly-cloudy-day","Partly Cloudy",1023.51,347.26,39.53,-89.33
"469",0,10,109,6.32,0.46,38.69,59.2,59.2,0,NA,"clear-day","Clear",1023.41,345.46,38.99,-89.17
"470",0,10,97,6.48,0.41,34.56,57.96,57.96,0,NA,"clear-day","Clear",1024.66,356.71,39.38,-86.5
"471",0,10,118,5.81,0.39,34.25,59.05,59.05,0,NA,"clear-day","Clear",1024.36,354.07,39.13,-86.62
"472",0.35,10,118,6.58,0.45,33.58,54.5,54.5,0,NA,"partly-cloudy-day","Partly Cloudy",1026.85,370.93,41.72,-86
"473",0.06,10,92,5.7,0.36,35.6,63.33,63.33,0,NA,"clear-day","Clear",1023.09,336.25,38.05,-87.53
"474",0.17,10,100,9.93,0.45,32.92,53.62,53.62,0,NA,"clear-day","Clear",1026.98,373.53,41,-85.2
"475",0.17,10,81,6.75,0.48,33.09,52.1,52.1,0,NA,"clear-day","Clear",1026.19,359.79,41.62,-87.42
"476",0,10,106,11.11,0.41,33.08,56.23,56.23,0,NA,"clear-day","Clear",1026.57,364.94,40.65,-86.15
"477",0.06,10,105,8.02,0.42,33.85,56.73,56.73,0,NA,"clear-day","Clear",1025.14,358.95,39.73,-86.27
"478",0,10,120,9.79,0.46,34.94,55.18,55.18,0,NA,"clear-day","Clear",1026.12,366.63,40.23,-85.38
"479",0.49,10,113,5.61,0.45,33.7,54.87,54.87,0,NA,"partly-cloudy-day","Partly Cloudy",1026.68,368.72,41.7,-86.32
"480",0,10,113,6.52,0.38,35.46,61.03,61.03,0,NA,"clear-day","Clear",1024.39,353.91,39.45,-87.3
"481",0,10,103,7.3,0.43,35.15,57.36,57.36,0,NA,"clear-day","Clear",1025.35,357.17,40.42,-86.93
"482",0.01,10,149,10.18,0.37,34.93,61.52,61.52,0,NA,"clear-day","Clear",1022.63,338.75,40.78,-91.12
"483",0.14,8.94,157,12.5,0.35,34.42,62.13,62.13,0,NA,"clear-day","Clear",1021.97,338.47,41.88,-91.7
"484",0.08,9.72,181,14.32,0.28,34.03,68.82,68.82,0,NA,"clear-day","Clear",1019.52,334.22,41.53,-93.65
"485",0.35,10,158,14.21,0.4,34.29,58.74,58.74,0,NA,"partly-cloudy-day","Partly Cloudy",1023.28,341.47,42.4,-90.7
"486",0.05,10,204,10.73,0.31,38.67,70.81,70.81,0,NA,"clear-day","Clear",1016.12,332.54,43.4,-94.75
"487",0.03,9.31,192,16.23,0.26,35.28,71.69,71.69,0,NA,"clear-day","Clear",1017.72,333.21,42.55,-94.18
"488",0.01,9.48,172,10.8,0.32,36.26,67.21,67.21,0,NA,"clear-day","Clear",1019.77,334.51,40.62,-93.93
"489",0.03,9.24,186,14.46,0.34,38.02,67.76,67.76,0,NA,"clear-day","Clear",1018.21,335.56,43.15,-93.33
"490",0.02,9.08,165,14.02,0.33,34.69,64.69,64.69,0,NA,"clear-day","Clear",1021.16,336.23,41.1,-92.45
"491",0.05,10,204,13.53,0.37,46.41,74.58,74.58,0,NA,"clear-day","Clear",1015.35,324.76,42.4,-96.38
"492",0.06,8.55,210,14.39,0.3,38.33,71.15,71.15,0,NA,"clear-day","Clear",1015.92,330.83,43.17,-95.15
"493",0.42,9.68,171,14.48,0.36,36.9,64.31,64.31,0,NA,"partly-cloudy-day","Partly Cloudy",1020.51,337.31,42.55,-92.4
"494",0.87,10,176,10.57,0.68,52.78,63.48,63.48,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.61,325.19,37.67,-95.48
"495",0.66,10,167,8.56,0.54,50.07,67.4,67.4,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.16,324.97,37.75,-97.22
"496",0,10,171,13.49,0.46,51.06,73.02,73.02,0,NA,"clear-day","Clear",1016.37,336.57,39.55,-97.65
"497",0.2,9.53,175,10.9,0.5,48.97,68.39,68.39,0,NA,"clear-day","Clear",1015.04,322.8,37.77,-99.97
"498",0.04,10,159,5.31,0.4,45,70.28,70.28,0,NA,"clear-day","Clear",1012.7,324.49,37,-101.88
"499",0.1,10,163,11.22,0.52,53.11,71.57,71.57,0,NA,"clear-day","Clear",1018.24,329.52,38.33,-96.2
"500",0.1,10,172,9.08,0.31,37.48,69.22,69.22,0,NA,"clear-day","Clear",1019.09,340.45,39.37,-94.92
"501",0.03,10,168,10.43,0.34,43.69,74,74,0,NA,"clear-day","Clear",1017.7,335.2,39.05,-96.77
"502",0.34,10,173,11.16,0.56,51.82,68.11,68.11,0,NA,"partly-cloudy-day","Partly Cloudy",1014,323.74,37.93,-100.72
"503",0,10,145,11.59,0.35,42.07,71.05,71.05,0,NA,"clear-day","Clear",1012.42,326.54,39.37,-101.7
"504",0,10,166,13.09,0.34,42.54,72.93,72.93,0,NA,"clear-day","Clear",1015.15,326.43,38.85,-99.27
"505",0,10,162,13.08,0.4,48.08,73.78,73.78,0,NA,"clear-day","Clear",1014.31,329.08,39.38,-99.83
"506",0.41,10,171,11.8,0.5,51.11,70.76,70.76,0,NA,"partly-cloudy-day","Partly Cloudy",1016.99,325.94,38.07,-97.87
"507",0.01,10,166,8.77,0.35,40.8,69.88,69.88,0,NA,"clear-day","Clear",1019.35,337.58,38.82,-94.88
"508",0.21,10,180,11.76,0.45,47.16,69.42,69.42,0,NA,"clear-day","Clear",1013.88,322.44,37.05,-100.97
"509",0.02,10,170,10.97,0.35,44.46,73.56,73.56,0,NA,"clear-day","Clear",1017.81,336.41,39.15,-96.67
"510",0.65,10,181,9.46,0.57,51.45,67.18,67.18,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.31,324.37,37.62,-97.27
"511",1,10,152,10.08,0.54,49.91,67.29,67.29,0,NA,"cloudy","Overcast",1017.81,322.78,37.3,-98.58
"512",0.01,10,165,9.02,0.34,40.19,69.51,69.51,0,NA,"clear-day","Clear",1019.31,337.99,38.85,-94.9
"513",0,10,176,13.98,0.32,41.97,73.75,73.75,0,NA,"clear-day","Clear",1015.55,327.03,38.87,-98.82
"514",0,10,176,10.06,0.37,47.09,74.8,74.8,0,NA,"clear-day","Clear",1016.67,329.58,38.8,-97.65
"515",0,10,171,9.45,0.32,40.93,72.03,72.03,0,NA,"clear-day","Clear",1018.54,339.36,39.07,-95.62
"516",0,10,175,9.88,0.32,41.09,72.37,72.37,0,NA,"clear-day","Clear",1018.53,338.28,38.95,-95.67
"517",0.63,10,164,8.68,0.59,52.45,67.44,67.44,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.41,324.52,37.65,-97.43
"518",0.4,10,108,5.88,0.44,44.44,66.82,66.82,0,NA,"partly-cloudy-day","Partly Cloudy",1021.68,330.24,36.97,-86.43
"519",0.42,10,72,3.88,0.44,43.04,65.52,65.52,0,NA,"partly-cloudy-day","Partly Cloudy",1021.14,329.75,36.67,-87.5
"520",0.03,10,49,6.23,0.34,35.48,64.61,64.61,0,NA,"clear-day","Clear",1023.18,336.94,37.9,-85.97
"521",0.01,10,87,1.85,0.29,33.52,66.39,66.39,0,NA,"clear-day","Clear",1022.73,337.54,37.6,-83.32
"522",0.01,10,74,5.21,0.35,34.87,62.83,62.83,0,NA,"clear-day","Clear",1023.26,340.16,38.05,-85
"523",0.08,10,274,2.73,0.28,34.3,68.99,68.99,0,NA,"clear-day","Clear",1022,332.8,37.08,-84.07
"524",0.05,10,64,4.99,0.34,34.08,62.79,62.79,0,NA,"clear-day","Clear",1023.48,341.57,38.23,-85.67
"525",0.09,10,62,4.51,0.35,34.92,63.1,63.1,0,NA,"clear-day","Clear",1023.4,340.76,38.18,-85.73
"526",0.05,10,65,6.42,0.34,36.05,65.44,65.44,0,NA,"clear-day","Clear",1022.73,334.38,37.75,-87.17
"527",0.2,10,49,6.45,0.38,39.18,65.72,65.72,0,NA,"clear-day","Clear",1021.64,331.55,37.07,-88.77
"528",0.02,10,6,2.04,0.25,33.95,71.13,71.13,0,NA,"clear-day","Clear",1022.59,337.76,37.48,-82.52
"529",0.84,9.71,63,2.51,0.71,62.53,72.3,72.3,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.34,298.07,31.38,-92.3
"530",0.75,9.78,59,3.97,0.7,61.14,71.61,71.61,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.28,310.26,32.5,-93.67
"531",0.9,9.78,75,6.4,0.82,65.15,71.05,71.05,0,NA,"partly-cloudy-day","Mostly Cloudy",1015.88,293.23,30.53,-91.15
"532",0.93,7.1,122,8.16,0.91,67.58,70.29,70.29,0.0059,NA,"rain","Drizzle",1016.9,289.23,29.55,-89.67
"533",0.28,9.22,162,9.96,0.81,66.57,72.58,72.58,0,NA,"partly-cloudy-day","Dry and Partly Cloudy",1015.53,292.78,29.78,-93.3
"534",0.84,9.7,157,2.99,0.73,64.47,73.55,73.55,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.31,297.01,31.22,-92.95
"535",0.83,7.94,67,3.38,0.75,63.85,72.42,72.42,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.36,297.83,31.33,-92.55
"536",0.64,7.21,76,16.05,0.87,66.12,70.04,70.04,0.0045,NA,"partly-cloudy-day","Mostly Cloudy",1015.78,286.76,28.47,-91.78
"537",0.73,9.74,105,3.8,0.74,63.18,71.99,71.99,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.2,295.98,31.05,-93.2
"538",0.31,9.42,127,10.29,0.91,67.75,70.54,70.54,0.0075,NA,"rain","Drizzle",1016.55,288.25,29.18,-90.07
"539",0.77,6.21,81,18.57,0.93,69.1,71.32,71.32,0,NA,"partly-cloudy-day","Mostly Cloudy",1014.93,287.17,28.22,-93.75
"540",0.77,6.23,110,17.76,0.85,68.1,72.78,72.78,0,NA,"partly-cloudy-day","Mostly Cloudy",1015.31,287.16,28.13,-94.4
"541",0.73,8.41,74,3.21,0.84,66.75,71.88,71.88,0.0025,NA,"partly-cloudy-day","Mostly Cloudy",1015.98,289.89,29.57,-90.65
"542",0.36,6.88,142,8.35,0.85,66.35,71.18,71.18,0.0024,NA,"partly-cloudy-day","Partly Cloudy",1015.75,291.51,29.73,-92.12
"543",0.47,9.7,118,6.42,0.84,67.98,72.99,72.99,0,NA,"partly-cloudy-day","Partly Cloudy",1015.69,292.91,30.2,-92
"544",0.52,9.74,123,4.44,0.82,67.42,73.38,73.38,0,NA,"partly-cloudy-day","Partly Cloudy",1015.6,293.5,30.12,-93.22
"545",0.99,8.33,124,4.8,0.84,66.44,71.57,71.57,0.0065,NA,"rain","Drizzle",1015.71,290.94,29.7,-91.1
"546",1,6.72,162,7.18,0.9,67.56,70.71,70.71,0.0144,NA,"rain","Light Rain",1016.84,288.66,28.78,-89.05
"547",0.84,9.51,32,5.23,0.72,61.62,71.06,71.06,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.4,306.17,32.52,-92.05
"548",0.99,9.23,117,3.89,0.85,66.61,71.35,71.35,0.0288,NA,"rain","Light Rain",1015.71,291.02,29.7,-91.2
"549",0.51,9.67,111,4,0.86,67.83,72.34,72.34,0.002,NA,"partly-cloudy-day","Humid and Partly Cloudy",1015.7,292.23,30.03,-91.88
"550",0.87,9.12,67,4.17,0.88,65.29,69.16,69.16,0.0022,NA,"partly-cloudy-day","Humid and Mostly Cloudy",1016.22,290.79,29.98,-90.25
"551",0.97,7.62,77,2.61,0.92,66.46,68.88,68.88,0.0385,NA,"rain","Light Rain",1017.13,290.03,29.83,-90.02
"552",0.89,9.11,70,3.01,0.91,65.22,67.95,67.95,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.04,290.77,30.03,-90.03
"553",0.19,7.19,72,17.56,0.88,67.05,70.66,70.66,0.0042,NA,"clear-day","Clear",1015.69,287.03,28.3,-91.98
"554",0.76,9.8,55,3.01,0.69,60.45,70.99,70.99,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.31,310.77,32.52,-93.75
"555",0.79,9.87,58,4.2,0.69,60.1,70.92,70.92,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.28,310.1,32.47,-93.82
"556",0.83,9.35,79,3.39,0.88,64.59,68.2,68.2,0,NA,"partly-cloudy-day","Humid and Mostly Cloudy",1016.35,291.93,30.35,-89.82
"557",0.11,10,334,5.05,0.41,26.18,46.73,48.76,0,NA,"clear-day","Clear",1027.35,367.92,44.32,-69.8
"558",0.14,10,313,7.67,0.41,26.35,45.94,49.21,0,NA,"clear-day","Clear",1026.89,368.45,44.8,-68.82
"559",0.07,10,332,5.57,0.5,30.83,46.32,48.67,0,NA,"clear-day","Clear",1026.72,364.75,44.45,-68.37
"560",0.05,10,358,0.95,0.48,30.89,49.62,49.62,0,NA,"clear-day","Clear",1027.34,364.73,43.88,-69.93
"561",0.48,10,311,9.02,0.56,25.99,34.49,40.33,0,NA,"partly-cloudy-day","Partly Cloudy",1027.46,373.55,46.87,-68.02
"562",0.02,10,327,9.44,0.47,22.19,34.7,40.66,0,NA,"clear-day","Clear",1027.68,372.43,45.45,-69.55
"563",0.16,10,316,7.5,0.51,23.91,35.51,40.54,0,NA,"clear-day","Clear",1027.8,374.15,45.78,-69.63
"564",0.76,10,317,9.01,0.6,30.67,38.32,43.44,0,NA,"partly-cloudy-day","Mostly Cloudy",1027.14,370.35,46.13,-67.78
"565",0.56,10,297,8.55,0.57,25.64,34.04,39.78,0,NA,"partly-cloudy-day","Partly Cloudy",1027.52,373.42,46.95,-67.88
"566",0.19,10,90,1.9,0.45,29.23,49.92,49.92,0,NA,"clear-day","Clear",1027.43,363.59,43.65,-70.32
"567",0.79,10,316,7.31,0.59,27.47,35.57,40.5,0,NA,"partly-cloudy-day","Mostly Cloudy",1027.71,372.78,46.68,-68.05
"568",0.38,9.38,10,4.28,0.5,30.04,46.28,47.94,0,NA,"partly-cloudy-day","Partly Cloudy",1027.1,364.45,44.07,-69.12
"569",0.03,10,319,6.62,0.46,21.1,35.66,40.25,0,NA,"clear-day","Clear",1028.33,374.42,44.88,-70.88
"570",0.01,10,46,6.04,0.36,28.81,55.04,55.04,0,NA,"clear-day","Clear",1027.63,350.14,38.82,-76.87
"571",0.05,10,73,3.57,0.41,31.87,54.95,54.95,0,NA,"clear-day","Clear",1027.85,350.38,39.18,-76.67
"572",0.04,10,74,3.28,0.41,31.73,55.09,55.09,0,NA,"clear-day","Clear",1027.48,350.38,39.18,-76.67
"573",0.13,10,115,4.42,0.43,31.29,53.17,53.17,0,NA,"clear-day","Clear",1028.4,350.21,39.33,-76.42
"574",0.02,10,70,3.13,0.41,31.85,55.13,55.13,0,NA,"clear-day","Clear",1027.49,350.43,39.08,-76.77
"575",0.02,10,34,1.71,0.37,28.03,53.89,53.89,0,NA,"clear-day","Clear",1027.29,351.93,39.7,-77.72
"576",0,10,50,11.04,0.55,34.73,50.23,50.23,0,NA,"clear-day","Clear",1027.49,347.7,38.55,-75.13
"577",0.11,10,10,5.87,0.43,32.23,54.15,54.15,0,NA,"clear-day","Clear",1027.48,348.39,38.28,-76.4
"578",0.08,9.63,71,3.05,0.42,32.12,54.45,54.45,0,NA,"clear-day","Clear",1028.04,350.13,39.47,-76.17
"579",0,10,41,8.15,0.45,33.12,54.2,54.2,0,NA,"clear-day","Clear",1027.33,347.55,38.33,-75.5
"580",0,10,359,3.44,0.37,26.62,52.26,52.26,0,NA,"clear-day","Clear",1027.24,355.44,42.47,-71.28
"581",0.01,10,101,6.31,0.53,32.06,45.32,48.17,0,NA,"clear-day","Clear",1027.38,356.12,42.58,-70.92
"582",0.14,10,85,7.04,0.5,29.32,43.22,46.73,0,NA,"clear-day","Clear",1027.34,354.68,42.37,-71.03
"583",0,9.99,35,11.57,0.58,32.36,40.94,46.33,0,NA,"clear-day","Clear",1027.3,351.35,41.78,-70.5
"584",0,9.89,25,12.36,0.64,33.63,39.04,45.02,0,NA,"clear-day","Clear",1027.5,350.12,41.67,-69.97
"585",0,10,354,2.62,0.34,26.17,53.72,53.72,0,NA,"clear-day","Clear",1027.17,356.15,42.57,-71.6
"586",0,9.97,22,10.7,0.59,33.55,42.17,47.08,0,NA,"clear-day","Clear",1027.28,350.49,41.67,-70.28
"587",0.02,9.73,14,2.88,0.42,29.43,51.66,51.66,0,NA,"clear-day","Clear",1027.28,357.3,42.72,-71.12
"588",0,10,46,11.08,0.56,34.27,44.86,49.34,0,NA,"clear-day","Clear",1027.25,349.4,41.4,-70.62
"589",0,9.81,29,15.06,0.64,34.69,39.71,46.16,0,NA,"clear-day","Clear",1027.15,348.49,41.25,-70.07
"590",0.06,10,51,5.8,0.48,33.61,52.82,52.82,0,NA,"clear-day","Clear",1027.05,350.68,41.68,-70.97
"591",0,10,7,5.22,0.43,30.08,51.87,51.87,0,NA,"clear-day","Clear",1027.6,353.38,42.18,-71.18
"592",0,9.99,31,10.5,0.54,32.54,44.04,48.53,0,NA,"clear-day","Clear",1027.22,350.61,41.65,-70.52
"593",0.06,10,346,2.24,0.38,25.97,50.43,50.43,0,NA,"clear-day","Clear",1027.3,353.92,42.26,-73.18
"594",0.02,10,35,6.76,0.51,32.17,47.04,49.79,0,NA,"clear-day","Clear",1027.63,353.29,42.15,-70.93
"595",0.21,10,34,3.64,0.37,27.89,53.8,53.8,0,NA,"clear-day","Clear",1026.83,353.05,42.17,-72.72
"596",0.12,10,345,3.02,0.37,27.71,53.44,53.44,0,NA,"clear-day","Clear",1027.17,353.68,42.2,-72.53
"597",0,10,326,3.61,0.36,24.82,50.82,50.82,0,NA,"clear-day","Clear",1027.03,353.37,42.27,-71.87
